thread_id,customer_tweet_id,customer_raw_text,customer_clean_text,brand_reply_id,brand_reply_text,followup_raw_text,created_at
100368,100368,my promo code didn't apply and I got charged full price @Uber_Support,my promo code didn't apply and I got charged full price,100369,Sorry about that! Please DM us your trip ID and email on file so we can review the charge.,"done, sent the details",Mon Jun 05 20:27:00 +0000 2023
100402,100402,does uber operate in Cape Town yet? @Uber_Support,does uber operate in Cape Town yet?,100403,Thanks for reaching out! Availability varies by city -- check the app to see current service in your area.,still waiting to hear back,Tue May 23 21:39:00 +0000 2023
100265,100265,does uber operate in Cape Town yet? @Uber_Support,does uber operate in Cape Town yet?,100266,"Great question -- restaurant availability updates regularly, keep an eye on the app!",,Sat Nov 25 06:34:00 +0000 2023
100608,100608,"left my jacket in the car from my ride tonight, help! @Uber_Support...","left my jacket in the car from my ride tonight, help! ...",100609,You can report this and contact your driver directly through the app: go to your trip in the app and tap 'I lost an item'.,,Thu Jun 08 14:43:00 +0000 2023
100523,100523,does uber operate in Cape Town yet? @Uber_Support,does uber operate in Cape Town yet?,100524,"Great question -- restaurant availability updates regularly, keep an eye on the app!",,Fri Nov 03 15:41:00 +0000 2023
100415,100415,does uber operate in Cape Town yet? @Uber_Support,does uber operate in Cape Town yet?,100416,"Great question -- restaurant availability updates regularly, keep an eye on the app!",,Sun Jun 25 08:00:00 +0000 2023
100139,100139,"I want a refund for my last trip, it was a mess @Uber_Support 🙏","I want a refund for my last trip, it was a mess 🙏",100140,Sorry to hear that -- send us the trip ID in a DM so we can take a look.,,Thu Nov 23 21:35:00 +0000 2023
100078,100078,"I think I left my phone in the back seat of my uber, how do I get it back @Uber_Support","I think I left my phone in the back seat of my uber, how do I get it back",100079,"No worries, we can help with that! Please use the 'Find Lost Item' option in your app under trip history to contact your driver directly.","done, sent the details",Wed Jan 11 03:29:00 +0000 2023
100173,100173,"the fare estimate said $12 but I got charged $27, what happened @Uber_Support","the fare estimate said $12 but I got charged $27, what happened",100174,We'd like to take a closer look. Can you send us the trip ID via DM so we can check the fare breakdown?,just dm'd you,Wed Apr 05 17:23:00 +0000 2023
100551,100551,"shoutout to my driver tonight, best ride I've had in a while! @Uber_Support 🙏","shoutout to my driver tonight, best ride I've had in a while! 🙏",100552,"Love to hear it, thank you for the kind words!",,Sun Oct 01 13:05:00 +0000 2023
100272,100272,driver took a completely different route than the app showed and it cost me extra @Uber_Support,driver took a completely different route than the app showed and it cost me extra,100273,That's not the experience we want for you. Could you DM us the trip details so we can follow up?,,Wed Nov 29 08:09:00 +0000 2023
100081,100081,"I want a refund for my last trip, it was a mess @Uber_Support","I want a refund for my last trip, it was a mess",100082,Sorry to hear that -- send us the trip ID in a DM so we can take a look.,,Sat Dec 09 18:57:00 +0000 2023
100216,100216,driver cancelled on me after waiting 15 minutes and now I got charged a fee @Uber_Support,driver cancelled on me after waiting 15 minutes and now I got charged a fee,100217,That shouldn't happen. Send us the trip details in a DM and we'll review the charge.,,Sun Jun 11 02:03:00 +0000 2023
100110,100110,"I was harassed by my driver during my ride tonight, this needs to be looked at immediately @Uber_Support 😡","I was harassed by my driver during my ride tonight, this needs to be looked at immediately 😡",100111,We're so sorry to hear this and want to make sure you're safe. Please reach out to our safety line so a specialist can help right away: https://help.uber.com/safety,still waiting to hear back,Sun Sep 24 21:45:00 +0000 2023
100243,100243,why was I charged double for the same trip?? @Uber_Support,why was I charged double for the same trip??,100244,Sorry about that! Please DM us your trip ID and email on file so we can review the charge.,ok thank you,Thu Mar 09 14:59:00 +0000 2023
100124,100124,why was I charged double for the same trip?? @Uber_Support...,why was I charged double for the same trip?? ...,100125,Sorry about that! Please DM us your trip ID and email on file so we can review the charge.,,Wed Mar 08 14:42:00 +0000 2023
100259,100259,the app keeps crashing every time I try to request a ride @Uber_Support,the app keeps crashing every time I try to request a ride,100260,We'd like to help sort this out -- can you send us your account email via DM?,sent!,Sat Aug 26 18:30:00 +0000 2023
100053,100053,my driver never showed up and I still got charged for cancelling @Uber_Support,my driver never showed up and I still got charged for cancelling,100054,That shouldn't happen. Send us the trip details in a DM and we'll review the charge.,sent!,Sun Sep 10 03:20:00 +0000 2023
100309,100309,my promo code didn't apply and I got charged full price @Uber_Support,my promo code didn't apply and I got charged full price,100310,Sorry about that! Please DM us your trip ID and email on file so we can review the charge.,ok thank you,Mon Nov 13 20:46:00 +0000 2023
100373,100373,"can I get my money back for this ride, it was way overpriced @Uber_Support","can I get my money back for this ride, it was way overpriced",100374,We understand. Please DM your trip ID and we'll review it for a possible refund.,just dm'd you,Sun Jun 18 15:07:00 +0000 2023
100031,100031,the app keeps crashing every time I try to request a ride @Uber_Support,the app keeps crashing every time I try to request a ride,100032,We'd like to help sort this out -- can you send us your account email via DM?,,Thu Apr 13 15:32:00 +0000 2023
100033,100033,"I think I left my phone in the back seat of my uber, how do I get it back @Uber_Support","I think I left my phone in the back seat of my uber, how do I get it back",100034,You can report this and contact your driver directly through the app: go to your trip in the app and tap 'I lost an item'.,sent!,Sun Aug 27 11:11:00 +0000 2023
100341,100341,"shoutout to my driver tonight, best ride I've had in a while! @Uber_Support","shoutout to my driver tonight, best ride I've had in a while!",100342,This made our day! Thank you for sharing -- we'll be sure to pass it along.,just dm'd you,Tue May 23 13:31:00 +0000 2023
100224,100224,driver cancelled on me after waiting 15 minutes and now I got charged a fee @Uber_Support,driver cancelled on me after waiting 15 minutes and now I got charged a fee,100225,That shouldn't happen. Send us the trip details in a DM and we'll review the charge.,"done, sent the details",Mon Jan 23 18:49:00 +0000 2023
100063,100063,"my driver was so rude to me the entire trip, wouldn't even say hi @Uber_Support","my driver was so rude to me the entire trip, wouldn't even say hi",100064,We're sorry to hear about your experience. Please share your trip ID via DM so we can look into this with the driver.,,Wed Jan 11 00:43:00 +0000 2023
100118,100118,driver took a completely different route than the app showed and it cost me extra @Uber_Support,driver took a completely different route than the app showed and it cost me extra,100119,That's not the experience we want for you. Could you DM us the trip details so we can follow up?,ok thank you,Thu Aug 31 04:50:00 +0000 2023
100043,100043,"I think I left my phone in the back seat of my uber, how do I get it back @Uber_Support","I think I left my phone in the back seat of my uber, how do I get it back",100044,You can report this and contact your driver directly through the app: go to your trip in the app and tap 'I lost an item'.,,Wed Feb 01 06:28:00 +0000 2023
100137,100137,"the driver was smoking in the car with the windows up, it was so uncomfortable @Uber_Support","the driver was smoking in the car with the windows up, it was so uncomfortable",100138,We're sorry to hear about your experience. Please share your trip ID via DM so we can look into this with the driver.,,Thu Aug 17 00:03:00 +0000 2023
100417,100417,my promo code didn't apply and I got charged full price @Uber_Support,my promo code didn't apply and I got charged full price,100418,We'd like to take a closer look. Can you send us the trip ID via DM so we can check the fare breakdown?,,Tue Jun 06 00:13:00 +0000 2023
100533,100533,when is uber eats getting more restaurant options in my area @Uber_Support,when is uber eats getting more restaurant options in my area,100534,Thanks for reaching out! Availability varies by city -- check the app to see current service in your area.,sent!,Sun Feb 05 12:32:00 +0000 2023
100168,100168,the app keeps crashing every time I try to request a ride @Uber_Support 🙏,the app keeps crashing every time I try to request a ride 🙏,100169,We'd like to help sort this out -- can you send us your account email via DM?,,Wed Jul 19 23:13:00 +0000 2023
100038,100038,"the driver was smoking in the car with the windows up, it was so uncomfortable @Uber_Support","the driver was smoking in the car with the windows up, it was so uncomfortable",100039,We're sorry to hear about your experience. Please share your trip ID via DM so we can look into this with the driver.,,Sat Feb 25 01:46:00 +0000 2023
100098,100098,"I want a refund for my last trip, it was a mess @Uber_Support","I want a refund for my last trip, it was a mess",100099,Sorry to hear that -- send us the trip ID in a DM so we can take a look.,sent!,Sun May 28 19:13:00 +0000 2023
